"","AA","AXP","BA","BAC","C","CAT"
"1987-03-16",-0.0244660521544064,-0.00632913505164767,-0.0181587350118715,-0.00714288751238024,0,-0.0108109161042156
"1987-03-17",0.0244660521544064,0.00790517950711322,0.00391901220073576,0.00714288751238024,0,0.00271370587159603
"1987-03-18",0,0.0125197253449278,0.00520157219607364,0.0176371414861067,0.0352459390616748,-0.0136427764037863
"1987-03-19",0.0209275201059558,0.00155400186673438,-0.00520157219607364,0.0069686693160933,0.0256424306133376,0.0190481949706944
"1987-03-20",-0.00296296513065686,-0.0188093319574962,0.0333364202675921,0.0172121288811216,-0.00847462699097223,0.0107239633629757
"1987-03-23",0.00296296513065686,-0.00475813744641695,-0.00632513177696881,-0.0034188067487857,0.0126851595273157,0.0158733491562901
"1987-03-24",0.0175957618903797,0.0220134675371788,-0.00254129742867271,-0.0207619914484292,0.0207907696690738,0
"1987-03-25",0.00579711768432589,-0.00311526731694922,0.00254129742867271,-0.00701757265864655,-0.0207907696690738,0
"1987-03-26",-0.0323082432326578,-0.00156128056695248,0.0113565889323359,0.0139862419747399,-0.0298529631496811,0.00262123347987409
"1987-03-27",0,-0.0205216357207969,-0.0138978863610086,-0.0139862419747399,-0.00869570696755395,-0.00262123347987409
"1987-03-30",-0.024170360927813,-0.0440168854167744,-0.0270809586026708,-0.0106195688274602,-0.0310446216819601,-0.00526317004427468
"1987-03-31",-0.012307847674597,0.0198026272961798,0.0104032147608861,-0.0215835716671746,0.00896866998276036,0.0104987840982198
"1987-04-01",0.00309119256967305,0,0.0115756919578893,-0.0183491386681964,-0.00896866998276036,0.00520834510713808
"1987-04-02",-0.00619197024792117,-0.0332256476283204,-0.0141663669819816,-0.0186921330121527,0.00896866998276036,-0.00260078170005729
"1987-04-03",0.0455313848079535,0.0315903242875897,0.00903815061506208,0.0692444121749839,0.00445435034938024,0.0332937280994636
